restaurant_name,city,latitude,longitude,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,nearby_attraction_coords,query_latitude,query_longitude,rating
Ninety-Nine Li Tang (Wushang Mall Branch),Nanchang,28.674579,115.906129,93.0,Chinese Restaurant;Cantonese Cuisine,16:30,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.6
Tomahawk Steakhouse (Wushang Black Gold Branch),Nanchang,28.675220,115.906042,86.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.6
Piaoxiang Hall Old Liquor Culture Restaurant,Nanchang,28.672264,115.906275,91.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.3
Wang Steak (Nanchang Wushang MALL Branch),Nanchang,28.675871,115.906115,275.0,Foreign Restaurant;Western Restaurant,17:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5
Gan Li Ji Master Li's Hometown Cuisine Restaurant,Nanchang,28.672485,115.907045,68.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5
Green Tea Restaurant (Nanchang Wushang MALL Branch),Nanchang,28.676333,115.906425,60.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5
Shangnanyu · Creative Cuisine (Bayi Square Branch),Nanchang,28.671330,115.906420,98.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.8
Hongyun Restaurant,Nanchang,28.674872,115.901171,100.0,Chinese Restaurant;Chinese Restaurant,17:00,23:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.5
Yudingxian (Bayi Wanda Plaza Branch),Nanchang,28.676963,115.904122,52.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.2
Halal Yihaocha Hui Tea Restaurant,Nanchang,28.676483,115.902380,21.0,Fast Food Restaurant;Fast Food Restaurant,11:00,21:00,Bayi Square,"115.904477,28.673856",28.673856,115.904477,4.4
Jinfeng Grand Hotel Chinese Restaurant,Nanchang,28.661546,115.898490,51.0,Chinese Restaurant;Chinese Restaurant|Cafe;Cafe,17:00,20:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2
Tao Fresh Seafood Restaurant (Zhanqian West Road Branch),Nanchang,28.661934,115.897709,84.0,Chinese Restaurant;Seafood Restaurant,16:30,21:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.9
Three Cups Li Bai Self-Singing Skewer Music Bar,Nanchang,28.658558,115.902303,59.0,Entertainment Venue;Bar|Chinese Restaurant;Hot Pot,18:00,02:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.3
Xiao Ou Spicy Boiled Restaurant (Huitang Road Branch),Nanchang,28.660188,115.903966,100.0,Chinese Restaurant;Chinese Restaurant,11:30,23:30,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.6
Sister Cheng's Little Eatery,Nanchang,28.659128,115.904257,24.0,Chinese Restaurant;Chinese Restaurant,10:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2
Fangfang Restaurant (Qianjin Road Branch),Nanchang,28.656660,115.899740,100.0,Chinese Restaurant;Chinese Restaurant,09:00,22:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.2
Longjiang Pork Leg Rice · Roasted Meat Restaurant (Chuanshan Road Branch),Nanchang,28.664218,115.895622,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.8
Taoyuan Restaurant,Nanchang,28.658065,115.893862,48.0,Chinese Restaurant;Chinese Restaurant,09:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.1
Fushan Restaurant,Nanchang,28.664901,115.905641,61.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,3.8
Baijia Restaurant (Hualong International Building Branch),Nanchang,28.664593,115.906351,100.0,Fast Food Restaurant;Fast Food Restaurant,09:00,21:00,Shengjin Pagoda,"115.899890,28.660962",28.660962,115.899890,4.1
Lakeside Elegant Courtyard (Bayi Park Branch),Nanchang,28.678681,115.898637,60.0,Food Service Related;Food Service Related,10:30,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.7
Little Dongfang Restaurant (Supu Road),Nanchang,28.679128,115.898794,62.0,Chinese Restaurant;Local Specialty Restaurant,09:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.2
Nutrition Restaurant,Nanchang,28.678368,115.893321,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,3.6
Hu Ji Stir-Fry,Nanchang,28.674702,115.896701,53.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.3
Ganpai Restaurant,Nanchang,28.674375,115.897175,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,0.2
Fuqituo Three Rooms Two Halls (Second Branch),Nanchang,28.674356,115.897148,56.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.7
Jiangxi Hotel Chinese Restaurant,Nanchang,28.679705,115.902385,113.0,Chinese Restaurant;Chinese Restaurant,17:30,21:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,3.7
Pingping Eatery (Minde Road Branch),Nanchang,28.682147,115.900550,100.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.1
Little Sichuan Authentic Sichuan Snacks,Nanchang,28.674161,115.898900,36.0,Chinese Restaurant;Sichuan Cuisine,07:30,23:00,Bayi Park,"115.897626,28.678562",28.678562,115.897626,4.6
Pin · Huanhu 69 Restaurant,Nanchang,28.683367,115.895531,91.0,Food Service Related;Food Service Related,10:00,21:00,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,4.6
North Lake Restaurant,Nanchang,28.683713,115.893462,100.0,Chinese Restaurant;Chinese Restaurant,17:00,20:30,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,4.7
Lychee Restaurant,Nanchang,28.683951,115.893900,77.0,Foreign Restaurant;Western Restaurant,11:00,21:00,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,4.9
Qingjiang Family Restaurant,Nanchang,28.684540,115.892623,19.0,Fast Food Restaurant;Fast Food Restaurant,06:30,20:30,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,4.3
Lage Restaurant,Nanchang,28.684403,115.891659,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,3.4
Xiao Zhang Restaurant (Tangjiayuan Branch),Nanchang,28.684205,115.890945,100.0,Chinese Restaurant;Chinese Restaurant,06:00,21:00,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,3.9
Wangwang Restaurant (Daijia Road Branch),Nanchang,28.683183,115.899780,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Apricot Flower Tower (Water Guanyin Pavilion),"115.894609,28.681531",28.681531,115.894609,3.9
Yunlin Mountain Hotel · Meihu Chinese Restaurant,Nanchang,28.607862,115.912846,73.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.9
Ink Fragrance Restaurant,Nanchang,28.602499,115.911372,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.6
Sijiale Restaurant,Nanchang,28.606961,115.928080,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.8
Wu's Eatery (Hongling Building Branch),Nanchang,28.613977,115.907696,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.7
Sister Xiong Restaurant,Nanchang,28.607440,115.930285,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,2.9
Jiaxing Restaurant,Nanchang,28.617213,115.913810,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.8
Smile Theme Restaurant (Hengmao Huijing Branch),Nanchang,28.607537,115.932403,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.5
Pengcheng Jiuyun Restaurant,Nanchang,28.603836,115.933579,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,3.6
Garden Bistro,Nanchang,28.621357,115.921621,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,4.5
Dongming Seafood Food Stall (Temporarily Closed),Nanchang,28.607937,115.934335,46.0,Chinese Restaurant;Seafood Restaurant,11:00,21:00,Memorial Hall of Bada Shanren,"115.916642,28.604789",28.604789,115.916642,4.2
Reader Restaurant,Nanchang,28.704138,115.880581,100.0,Chinese Restaurant;Chinese Restaurant,17:00,18:45,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.3
Mujia Music Restaurant & Bar Phoenix Island Branch (Jianjun Sculpture Square Branch),Nanchang,28.702944,115.882016,128.0,Chinese Restaurant;Chinese Restaurant,11:00,22:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.4
Millennium Fortune Tea Restaurant (Phoenix Holiday Plaza Branch),Nanchang,28.709715,115.880360,100.0,Fast Food Restaurant;Fast Food Restaurant,11:00,22:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,3.9
Mango Joy Restaurant,Nanchang,28.701301,115.879440,100.0,Food Service Related;Food Service Related,11:00,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,3.8
Thousand Flavors·Red Restaurant (Provincial Science and Technology Museum Branch),Nanchang,28.700795,115.878631,80.0,Chinese Restaurant;Chinese Restaurant,17:00,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.6
Blue Whale Seafood & Jiangxi Cuisine Restaurant,Nanchang,28.700706,115.878777,78.0,Chinese Restaurant;Seafood Restaurant,16:30,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.3
Nine-Colored Deer Restaurant (Honggutan Branch),Nanchang,28.703468,115.874768,65.0,Chinese Restaurant;Chinese Restaurant,10:30,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.7
Culinary Arts Restaurant (Jiuzongshanhe Branch),Nanchang,28.698989,115.876357,51.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.2
Mishi Ji · Yunxi Steak Buffet Restaurant (Greenland Bund Mansion Office Building Branch),Nanchang,28.716479,115.880720,74.0,Food Service Related;Food Service Related,16:00,21:30,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.5
Fu Ji Roasted Meat Restaurant (Wutongli Branch),Nanchang,28.716122,115.877511,17.0,Food Service Related;Food Service Related,11:00,21:00,Jiangxi Provincial Museum,"115.881823,28.705900",28.705900,115.881823,4.4
Yipin Jiahua Buffet Restaurant (Gougou Mall Branch),Nanchang,28.675246,115.890008,70.0,Chinese Restaurant;Chinese Restaurant,10:00,22:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.4
Star Kee Tea Restaurant (Wanshou Palace Branch),Nanchang,28.673815,115.891090,32.0,Fast Food Restaurant;Fast Food Restaurant,09:30,21:30,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.4
Chen Ji Handmade Mung Bean Cake (Zhubao Street Branch),Nanchang,28.673066,115.890280,16.0,糕饼店;糕饼店,08:00,22:30,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.7
Jordan Tea Restaurant (Xiangshan South Road Branch),Nanchang,28.675008,115.891432,58.0,服装鞋帽皮具店;服装鞋帽皮具店,11:00,21:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.6
Bu'er Folk Music Bar (Nanchang Branch),Nanchang,28.674621,115.887100,102.0,Chinese Restaurant;Chinese Restaurant,11:00,02:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.8
Nanchang Grand Hotel (Wanshou Palace Branch),Nanchang,28.673696,115.887108,100.0,Hotel;Hotel,11:00,21:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.7
Ah Ju Hong Kong Style Restaurant (Baisheng B Mall Branch),Nanchang,28.676784,115.891040,69.0,Food Service Related;Food Service Related,10:00,22:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,3.8
Dongfadao Tea Ice Hall (Wanshou Palace Historical and Cultural Street Area Branch),Nanchang,28.673802,115.886297,54.0,Food Service Related;Food Service Related,11:00,21:30,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,3.8
Nanchang Li·Old Street Nanchang Flavor (Wanshou Palace Branch),Nanchang,28.672945,115.886539,56.0,Chinese Restaurant;Chinese Restaurant,16:30,21:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.7
Daidai Private Seafood,Nanchang,28.673664,115.892870,93.0,Chinese Restaurant;Seafood Restaurant,11:30,21:00,Nanchang Bayi Uprising Memorial Hall,"115.889435,28.674670",28.674670,115.889435,4.4
Qianhu Hotel Buffet Restaurant,Nanchang,28.652881,115.807440,223.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Nanchang University (Qianhu Campus),"115.801325,28.656317",28.656317,115.801325,4.1
Staff Canteen (Xuefu Avenue Branch),Nanchang,28.660004,115.815343,100.0,Chinese Restaurant;Chinese Restaurant,08:00,21:00,Nanchang University (Qianhu Campus),"115.801325,28.656317",28.656317,115.801325,4.1
Yonyou Industrial Park (Nanchang) Staff Cafeteria Building,Nanchang,28.650387,115.784309,15.0,Food Service Related;Food Service Related,11:00,21:00,Nanchang University (Qianhu Campus),"115.801325,28.656317",28.656317,115.801325,4.3
Grand Courtyard (Xixi Road),Nanchang,30.257620,120.092557,86.0,Chinese Restaurant;Chinese Restaurant,16:30,20:30,Hangzhou West Station,"120.091014,30.260867",30.260867,120.091014,4.5
Fudi Restaurant,Nanchang,30.260346,120.095285,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou West Station,"120.091014,30.260867",30.260867,120.091014,3.9
Fuyuan Xincun Elderly Restaurant,Nanchang,30.264739,120.094010,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou West Station,"120.091014,30.260867",30.260867,120.091014,3.5
Xixi Courtyard (Xixi Paradise Branch),Nanchang,30.265570,120.089190,122.0,旅馆招待所;旅馆招待所,16:30,21:00,Hangzhou West Station,"120.091014,30.260867",30.260867,120.091014,4.6
Xixi No.7 Restaurant,Nanchang,30.257162,120.086848,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou West Station,"120.091014,30.260867",30.260867,120.091014,3.9
Cuilin Courtyard · Yard Restaurant,Nanchang,28.502502,115.935682,100.0,Chinese Restaurant;Chinese Restaurant,16:30,21:30,Hangzhou South Station,"115.950071,28.500238",28.500238,115.950071,4.1
Cuilin Golf Holiday Hotel - Chinese Restaurant,Nanchang,28.505375,115.935875,100.0,Chinese Restaurant;Chinese Restaurant,11:00,21:00,Hangzhou South Station,"115.950071,28.500238",28.500238,115.950071,3.8
Hao Wei Duo Nutritional Restaurant,Nanchang,28.516711,115.952072,100.0,Chinese Restaurant;Chinese Restaurant,09:00,14:00,Hangzhou South Station,"115.950071,28.500238",28.500238,115.950071,4.0
