city,attraction_name,attraction_id,description,attraction_type,address,latitude,longitude,rating,opening_time,closing_time,closing_dates,min_visit_hours,max_visit_hours,ticket_price
Nanchang,Shengjin Pagoda,B031703XFA,"A millennium-old ancient pagoda, an important cultural relic protection unit in Nanchang City, surrounded by a folk culture street.",Historical and Cultural,,28.660962,115.899890,4.7,08:30,21:00,,0.5,2.0,0.0
Nanchang,Victory Road Pedestrian Street,B0FFGX8NZX,"Nanchang's traditional commercial pedestrian street, featuring shopping and local snacks.",Leisure Experience,,28.678755,115.888103,4.5,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Nanchang,Nanchang August 1st Uprising Memorial Hall,B031704VYJ,"A significant revolutionary memorial hall in China, showcasing the history of the August 1st Uprising, and serving as a patriotic education base.",Historical and Cultural,,28.674670,115.889435,4.7,09:00,21:00,Monday,1.5,3.0,0.0
Nanchang,Nanchang University (Qianhu Campus),B031704T6Y,"A key university in Jiangxi Province, with a beautiful campus environment and a strong academic atmosphere.",Historical and Cultural,,28.656317,115.801325,4.5,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Nanchang,Bada Shanren Memorial Hall,B031704VXJ,"The former residence of Zhu Da, a painter from the late Ming Dynasty, a national first-class museum with elegant garden-style ancient architectural complexes.",Historical and Cultural,,28.604789,115.916642,4.0,09:00,17:00,Monday,1.0,2.5,0.0
Nanchang,Xiangshan Forest Park,B031701BMI,"A natural ecological park in the suburbs of Nanchang City, a bird-watching paradise with fresh air.",Natural Scenery,,28.951573,115.966089,3.3,08:00,18:00,,2.5,4.0,0.0
Nanchang,Jiangxi Provincial Museum (New Museum),B0FFGY018L,"A modern large-scale museum showcasing Jiangxi's history, culture, and archaeological achievements, with rich collections.",Historical and Cultural,,28.705900,115.881823,4.8,09:00,17:00,Monday,1.5,3.0,0.0
Nanchang,Bayi Square,B031704RAC,"A landmark square in the center of Nanchang City, home to the August 1st Uprising Memorial Tower, located in the city's core area.",City Landmark,,28.673856,115.904477,4.9,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Nanchang,Jiangxi Provincial Museum,B0FFGY018L,"The largest comprehensive museum in Jiangxi Province, displaying the essence of Gan-Po culture and historical artifacts.",Historical and Cultural,,28.705900,115.881823,4.8,09:00,17:00,Monday,2.0,3.5,0.0
Nanchang,Bayi Park,B031704QZN,"A historic park in Nanchang City, a popular leisure destination for residents, suitable for family strolls.",Leisure Experience,,28.678562,115.897626,4.7,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
Nanchang,Wanshou Palace Historical and Cultural Block,B0FFH2KZQN,"Nanchang's historical and cultural district, integrating traditional architecture, folk culture, and specialty cuisine.",Historical and Cultural,,28.674121,115.887019,4.8,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Nanchang,Nanchang Star Ferris Wheel,B03170TW9H,"The world's third tallest Ferris wheel, a landmark on the banks of the Gan River, offering panoramic views of Nanchang.",City Landmark,,28.655929,115.850254,4.8,09:00,22:00,Monday,1.0,2.5,50.0
Nanchang,Qingyunpu Taoist Temple,,"Formerly known as Taiji Temple, the ancestral temple of the Jingming sect of Taoism, located adjacent to the Memorial Hall of the Eight Great Mountain Men.",Historical and Cultural,,28.604789,115.916642,4.5,Open 24 Hours,Open 24 Hours,,0.5,2.0,0.0
Nanchang,Apricot Blossom Tower (Shui Guanyin Pavilion),B03170407I,"An ancient Ming Dynasty building standing by the river, with profound historical and cultural significance.",Historical and Cultural,,28.681531,115.894609,4.7,09:00,17:00,Monday,0.5,2.0,0.0
Nanchang,Aixi Lake Forest Wetland Park,B031705HEA,"Nanchang's urban green lung, featuring a beautiful wetland ecological environment, ideal for leisure walks.",Natural Scenery,,28.689605,115.990201,4.8,Open 24 Hours,Open 24 Hours,,1.5,3.0,0.0
Nanchang,Ganjiang Citizen Park - Qiushui Square,B03170SVWK,"A city park square on the banks of the Gan River, offering views of the river and the city's nightscape.",Natural Scenery,,28.683089,115.862117,4.6,Open 24 Hours,Open 24 Hours,,1.0,2.5,0.0
