origin_city,destination_city,dep_date,dep_station_code,dep_station_name,arr_station_code,arr_station_name,dep_datetime,arr_datetime,duration,flight_no,airline,seat_class,seat_status,equip_type,equip_size,manufacturer,price,segment_index,route_index
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 08:15:00,2025-11-12 10:20:00,125,HU4723,Hainan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,420,1,92
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,WUH,Tianhe International Airport,2025-11-12 07:05:00,2025-11-12 09:00:00,115,HU7755,Hainan Airlines,Economy Class,Sufficient,737MAX8,Medium Aircraft,Boeing,901,1,100
Shenzhen,Hangzhou,2025-11-12,WUH,Tianhe International Airport,HGH,Xiaoshan International Airport,2025-11-12 10:35:00,2025-11-12 11:50:00,75,MU6568,China Eastern Airlines,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,901,2,100
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 17:50:00,2025-11-12 19:55:00,125,GJ8966,Loong Air,Economy Class,Sufficient,321,Medium Aircraft,Airbus,400,1,91
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 16:50:00,2025-11-12 19:05:00,135,GJ8628,Loong Air,Economy Class,Sufficient,320,Medium Aircraft,Airbus,400,1,94
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 13:00:00,2025-11-12 15:10:00,130,JD5114,Capital Airlines,Economy Class,Sufficient,320,Medium Aircraft,Airbus,520,1,97
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 13:25:00,2025-11-12 15:25:00,120,CA3761,Air China,Economy Class,Sufficient,320,Medium Aircraft,Airbus,800,1,99
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 18:05:00,2025-11-12 20:00:00,115,CA3497,Air China,First Class,Sufficient,737MAX8,Medium Aircraft,Boeing,1500,1,96
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 10:20:00,2025-11-12 16:05:00,345,DZ6221,Donghai Airlines,Economy Class,Sufficient,737-800,Medium Aircraft,Boeing,350,1,93
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 07:10:00,2025-11-12 09:10:00,120,HU7393,Hainan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,450,1,95
Shenzhen,Hangzhou,2025-11-12,SZX,Bao'an International Airport,HGH,Xiaoshan International Airport,2025-11-12 16:50:00,2025-11-12 18:45:00,115,CA3595,Air China,Economy Class,Sufficient,320NEO,Medium Aircraft,Airbus,600,1,98
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 11:00:00,2025-11-16 13:15:00,135,ZH9882,Shenzhen Airlines,Economy Class,Sufficient,330,Large Aircraft,Airbus,740,1,112
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 21:15:00,2025-11-16 23:20:00,125,HU4724,Hainan Airlines,Economy Class,Sufficient,737,Medium Aircraft,Boeing,500,1,106
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,NNG,Wuxu Airport,2025-11-16 06:45:00,2025-11-16 09:40:00,175,CA1777,Air China,Economy Class,Sufficient,321,Medium Aircraft,Airbus,600,1,114
Hangzhou,Shenzhen,2025-11-16,NNG,Wuxu Airport,SZX,Bao'an International Airport,2025-11-16 20:05:00,2025-11-16 21:20:00,75,CA3554,Air China,Economy Class,Sufficient,737,Medium Aircraft,Boeing,600,2,114
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 16:20:00,2025-11-16 18:40:00,140,HU7390,Hainan Airlines,Economy Class,Sufficient,330,Large Aircraft,Airbus,500,1,108
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 15:20:00,2025-11-16 17:35:00,135,SC5615,Shandong Airlines,Economy Class,Sufficient,319,Medium Aircraft,Airbus,674,1,111
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 21:15:00,2025-11-16 23:20:00,125,JD4086,Capital Airlines,First Class,Sufficient,737,Medium Aircraft,Boeing,1500,1,107
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 07:05:00,2025-11-16 09:30:00,145,GJ8737,Loong Air,Economy Class,Sufficient,321,Medium Aircraft,Airbus,600,1,109
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 13:10:00,2025-11-16 15:30:00,140,CA3852,Air China,Economy Class,Sufficient,737MAX8,Medium Aircraft,Boeing,600,1,110
Hangzhou,Shenzhen,2025-11-16,HGH,Xiaoshan International Airport,SZX,Bao'an International Airport,2025-11-16 07:30:00,2025-11-16 09:40:00,130,CA1737,Air China,Economy Class,Sufficient,321,Medium Aircraft,Airbus,850,1,113
